id,name,link,regular_price,promo_price,brand_name
114894,"Шоколад Россия Щедрая душа Кокос и вафля молочный и белый, 82г",https://online.metro-cc.ru/products/molochnyj-belyj-rossiya-schedraya-dusha-s-kokosom-82g,65.90,65.90,РОССИЯ ЩЕДРАЯ ДУША
95923,"Шоколад Аленка Красный Октябрь молочный миндаль, 90г",https://online.metro-cc.ru/products/alenka-krasnyj-oktyabr-mindal-90-g,109,109,АЛЕНКА
203570,"Шоколад Villars молочный 32%, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-molochnyy-32,399,399,VILLARS
138897,"Шоколад Red Delight Extra темный 60%, 85г",https://online.metro-cc.ru/products/85g-shokolad-red-delight-extra-dark-60,209,129,RED
130168,"Шоколад Ritter Sport молочный кешью, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-keshyu-100g,169,169,RITTER SPORT
135968,"RIOBA Шоколад молочный 32% какао, 20г x 18 шт",https://online.metro-cc.ru/products/20g-shokolad-rioba-molochnyy-32-kakao-135968,376.20,376.20,RIOBA
135966,"RIOBA Шоколад горький 72% какао, 20г x 18 шт",https://online.metro-cc.ru/products/20g-shokolad-rioba-gorkiy-72-kakao-135966,376.20,376.20,RIOBA
121753,"Драже M&M's криспи, 130г",https://online.metro-cc.ru/products/130g-drazhe-m-m-039s-krispi,185,185,M&M'S
206385,"Шоколад Nature's Own Factory гречишный детский белый детский с бананом, 20г",https://online.metro-cc.ru/products/20g-grechishnyy-shokolad-natures-factory-belyy-detsk-s-bananom,123,123,NATURE'S OWN FACTORY
242063,"Шоколад Toblerone молочный, 35г",https://online.metro-cc.ru/products/shokolad-toblerone-molochnyy-35g,114,114,TOBLERONE
203574,"Шоколад Villars темный с цукатами апельсина, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-tyomnyy-s-tsukatami-apelsina,429,429,VILLARS
131007,"Шоколад Россия Щедрая душа молочный шоколад с фундуком и изюмом, 82г",https://online.metro-cc.ru/products/82g-rossiya-schedraya-dusha-funduk-izyum,65.90,65.90,РОССИЯ ЩЕДРАЯ ДУША
131006,"Шоколад Россия Щедрая душа Maxibon cookie sandwich молочный с печеньем и мороженым, 80г",https://online.metro-cc.ru/products/80g-rossiya-schedraya-dusha-maxibon-pechenye,81.90,81.90,РОССИЯ ЩЕДРАЯ ДУША
222861,"Шоколад N Nature темный какао 70%, 80г",https://online.metro-cc.ru/products/80g-shokolad-n-nature-temnyy-70-kakao,119,109,N NATURE
222863,"Шоколад N Nature темный с малиной 70%, 80г",https://online.metro-cc.ru/products/80g-shokolad-n-nature-temnyy-70-kakao-s-malinoy,119,109,N NATURE
114127,"Батончик Mars шоколадный 40.5г х 4шт, 162г",https://online.metro-cc.ru/products/4h405g-batonchik-mars-shokoladnyj-mp,152,152,MARS
227317,"Шоколад молочный Royal Forest кокосовое молоко, 20г",https://online.metro-cc.ru/products/20g-shokolad-molochnyy-royal-forest-kokosovoe-moloko,68.90,68.90,ROYAL FOREST
130724,"Шоколад Красный Октябрь Аленка с соленым крекером, 85г",https://online.metro-cc.ru/products/90g-alyonka-goroshkom,89.90,89.90,АЛЕНКА
95921,"Шоколад Аленка Красный Октябрь молочный фундук изюм, 90г",https://online.metro-cc.ru/products/alenka-krasnyj-oktyabr-funduk-izyum-90-g,109,109,АЛЕНКА
216450,"Шоколад Россия Щедрая душа темный цельный фундук, 85г",https://online.metro-cc.ru/products/85g-shokolad-rossiya-schedraya-dusha-temnyy-tselnyy-funduk,85.90,85.90,РОССИЯ ЩЕДРАЯ ДУША
201385,"RIOBA Шоколад молочный с фундуком 31%, 100г",https://online.metro-cc.ru/products/100g-shokolad-rioba-31-molochnyy-s-fundukom,124,119,RIOBA
413415,"Шоколад Красный Октябрь Аленка молочный, 15г",https://online.metro-cc.ru/products/krasnyj-oktyabr-alenka-15g,19.99,19.99,АЛЕНКА
227318,"Шоколад белый Royal Forest малина, 20г",https://online.metro-cc.ru/products/20g-shokolad-belyy-royal-forest-malina,76.90,76.90,ROYAL FOREST
122029,"Шоколад Красный Октябрь Аленка целый фундук и карамель, 165г",https://online.metro-cc.ru/products/165g-shok-alenka-krasnyj-oktyabr-fund-karam,154,154,АЛЕНКА
216454,"Шоколад Россия Щедрая душа с апельсиновой цедрой, 82г",https://online.metro-cc.ru/products/82g-shokolad-rossiya-schedraya-dusha-s-apelsinovoy-tsedroy,72.90,72.90,РОССИЯ ЩЕДРАЯ ДУША
226740,"Шоколад A.Korkunov молочный-цельный фундук, 90г",https://online.metro-cc.ru/products/90g-shokolad-korkunov-molochnyy-tselnyy-funduk,129,129,A.KORKUNOV
539289,"Шоколад Воздушный темный пористый, 85г",https://online.metro-cc.ru/products/temnyj-vozdushnyj-poristyj-85g-539289,128,128,ВОЗДУШНЫЙ
112680,"Шоколад Milka молочный с добавлением ореховой пасты из фундука и дробленым фундуком, 85г",https://online.metro-cc.ru/products/shokolad-molochnyj-milka-s-dobavleniem-orehovoj-pasty-iz-funduka-droblenym-fundukom-85g,120,109,MILKA
228041,"Шоколад Alpen Gold горький 70%, 80г",https://online.metro-cc.ru/products/80g-shokolad-gorkiy-alpen-gold-70,94.90,94.90,ALPEN GOLD
222173,"Батончик Славянка Super Степ нуга-арахис-карамель, 65г",https://online.metro-cc.ru/products/65g-batonchik-super-step-slavyanka-nugaarahiskaramel,37.99,37.99,СЛАВЯНКА
120569,"Шоколад Nature's Own Factory гречишный с имбирем и лимоном, 20г",https://online.metro-cc.ru/products/grechishnyj-s-imbirem-limonom-nature-039s-own-factory-24g,117,117,NATURE'S OWN FACTORY
121041,"Шоколад Красный Октябрь Аленка молочный, 20г x 64 шт",https://online.metro-cc.ru/products/20g-alenka,1529.60,1529.60,АЛЕНКА
212674,Батончик Ярче 50г,https://online.metro-cc.ru/products/50g-batonchik-yarche,21.90,21.90,ЯРЧЕ
216401,"Шоколад Munz органик горький с кокосом, 100г",https://online.metro-cc.ru/products/100g-shokolad-munz-organik-gorkiy-s-kokosom,559,559,MUNZ
563873,"Шоколад Бабаевский с шоколадной начинкой, 50г x 120 шт",https://online.metro-cc.ru/products/babaevskij-nachinkoj-4-50g,5988,5988,БАБАЕВСКИЙ
203584,"Шоколад Villars молочный без сахара, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-molochnyy-bez-sahara,549,549,VILLARS
561290,"Батончик Twix Экстра шоколадный, 82г x 144 шт",https://online.metro-cc.ru/products/twix-ekstra-82g,10209.60,10209.60,TWIX
545373,"Батончик Snickers шоколадный, 51г x 288 шт",https://online.metro-cc.ru/products/snickers-c-arahisom-48h505g,15235.20,15235.20,SNICKERS
561288,"Батончик Bounty Трио шоколадный, 83г x 144 шт",https://online.metro-cc.ru/products/bounty-trio-825g,10209.60,10209.60,BOUNTY
445179,"Драже M&M's с арахисом и молочным шоколадом, 45г x 32 шт",https://online.metro-cc.ru/products/drazhe-m-m-039s-s-arahisom-32h45g,1916.80,1916.80,M&M'S
118459,"Батончик Snickers шоколадный, 20г x 32 шт",https://online.metro-cc.ru/products/20g-shok-bat-snikers-stik,540.80,540.80,SNICKERS
556956,"Шоколад Milka молочный с карамельной начинкой, 90г x 20 шт",https://online.metro-cc.ru/products/molochnyj-milka-s-karamelnoj-nachinkoj-90g,2180,2180,MILKA
364346,"Батончик Snickers шоколадный с лесным орехом, 81г x 32 шт",https://online.metro-cc.ru/products/snickers-s-lesnym-orehom-81g,2268.80,2268.80,SNICKERS
634272,"Драже M&M's с соленым арахисом, 45г x 32 шт",https://online.metro-cc.ru/products/drazhe-m-m-039s-s-solenym-arahisom-45g-634272,1916.80,1916.80,M&M'S
561414,"Шоколад Dove молочный, 90г x 16 шт",https://online.metro-cc.ru/products/dove-molochnyj-90g-,1904,1904,DOVE
216396,"Шоколад Munz органик молочный карамель-фундук-соль, 100г",https://online.metro-cc.ru/products/100g-shokolad-munz-organik-molochnyy-karam-funduksol,559,559,MUNZ
534217,"Батончик шоколадный Nuts DUO с фундуком, 66г x 24 шт",https://online.metro-cc.ru/products/art_534217,1677.60,1677.60,NUTS
203582,"Шоколад Villars горький без сахара, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-gorkiy-bez-sahara,549,549,VILLARS
598877,"Батончик Mars Max шоколадный, 81г x 168 шт",https://online.metro-cc.ru/products/art_598877,11911.20,11911.20,MARS
580125,"Батончик Picnic шоколадный с арахисом и изюмом, 38г x 35 шт",https://online.metro-cc.ru/products/art_580125,1571.50,1571.50,PICNIC
203581,"Шоколад Villars молочный с карамелью, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-molochnyy-s-karamelyu,429,429,VILLARS
453146,"Батончик Mars Max шоколадный, 81г x 24 шт",https://online.metro-cc.ru/products/mars-maks-15-81g-453146,1701.60,1701.60,MARS
617114,"Батончик Bounty с мякотью кокоса покрытый молочным шоколадом, 55г x 192 шт",https://online.metro-cc.ru/products/bounty-s-myakotyu-kokosa-pokrytyj-molochnym-32h55g,10156.80,10156.80,BOUNTY
148405,"Батончик Picnic Грецкий орех шоколадный, 52г x 35 шт",https://online.metro-cc.ru/products/picnic-greckij-oreh-v-upakovke-35h52g,1676.50,1676.50,PICNIC
636278,"Батончик Milky Way шоколадный, 26г x 216 шт",https://online.metro-cc.ru/products/milky-way-26g,4514.40,4514.40,MILKY WAY
563872,"Шоколад Бабаевский со сливочной начинкой, 50г x 120 шт",https://online.metro-cc.ru/products/babaevskij-s-pomadno-slivochnoj-nachinkoj-50g,5988,5988,БАБАЕВСКИЙ
617120,"Батончик Twix шоколадный карамель, 55г x 240 шт",https://online.metro-cc.ru/products/twix-40h55g,12696,12696,TWIX
508604,"Шоколад Bucheron молочный с фисташками, 100г",https://online.metro-cc.ru/products/bucheron-molochnyj-s-fistashkami-100g,369,369,BUCHERON
91299,"Шоколад Alpen Gold Max Fun молочный со взрывной карамелью мармеладом и печеньем, 150г",https://online.metro-cc.ru/products/art_91299,199,199,ALPEN GOLD
548121,"Шоколад Dove молочный с фундуком и изюмом, 90г",https://online.metro-cc.ru/products/dove-molochnyj-s-fundukom-izyumom-90-g,119,109,DOVE
584114,"Шоколад Bucheron горький с фундуком, 100г",https://online.metro-cc.ru/products/bucheron-gorkij-s-fundukom-100g,369,369,BUCHERON
130721,"Шоколад Бабаевский Трюфель с апельсином, 170г",https://online.metro-cc.ru/products/shokolad-babaevskij-tryufel-s-apelsinom-165g,239,139,БАБАЕВСКИЙ
132603,"Шоколад гречишный Nature's Own Factory в ассортименте 5г х 52шт, 260г",https://online.metro-cc.ru/products/grechishnyj-natures-own-factory-v-assortimente-52x5g,2439,2439,NATURE'S OWN FACTORY
644066,"Шоколад Merci молочный с ореховым кремом, 112г",https://online.metro-cc.ru/products/merci-molochnyj-s-orehovym-kremom-112g,223,223,MERCI
50898,"Марципан Anthon Berg вишня и ром, 220г",https://online.metro-cc.ru/products/shokoladnye-konfety-anthon-berg-cherry-in-rum-220-g,829,829,ANTHON BERG
445185,"Драже M&M's с молочным шоколадом, 45г x 32 шт",https://online.metro-cc.ru/products/drazhe-m-and-ms-s-molochnym-shokoladom-45-g-445185,1916.80,1916.80,M&M'S
554216,"Шоколад Milka молочный с печеньем Lu, 87г",https://online.metro-cc.ru/products/molochnyj-milka-s-pechenyem-lu-87g-554216,209,159,MILKA
242059,"Батончик шоколадный Cadbury Wispa, 36г",https://online.metro-cc.ru/products/batonchik-shokoladnyy-cadbury-wispa-36g,134,134,CADBURY
203586,"Шоколад Villars мини темный и горький, 250г",https://online.metro-cc.ru/products/250g-mini-shokolad-villars-tyomnyy-i-gorkiy,1699,1699,VILLARS
222179,"Шоколад Кондитерская фабрика Крупской особый темный мини, 200г",https://online.metro-cc.ru/products/200g-shokolad-osobyy-kf-im-nk-krupskoy-tyomnyy-mini,279,279,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ
499655,"Шоколад Merci лесной орех и миндаль, 100г",https://online.metro-cc.ru/products/merci-s-orehom-100g,199,199,MERCI
554218,"Шоколад Milka молочный с соленым крекером Tuc, 87г",https://online.metro-cc.ru/products/milka-molochnyj-s-solenym-krekerom-tuc-87g-554218,209,159,MILKA
581623,"Шоколад Красный Октябрь Аленка молочный, 60г",https://online.metro-cc.ru/products/krasnyj-oktyabr-alenka-molochnyj-60g-581623,95.90,95.90,АЛЕНКА
206379,"Шоколад Nature's Own Factory гречишный детский белый банан-клубника, 20г",https://online.metro-cc.ru/products/20g-grechishnyy-shokolad-natures-factory-detsk-belyy-banklub,127,127,NATURE'S OWN FACTORY
228312,"Батончик марципановый Niederegger Vollmilchbrot, 125г",https://online.metro-cc.ru/products/125g-martsipanovyy-batonchik-niederegger-vollmilchbrot,789,789,NIEDEREGGER
244028,Шоколад молочный Alpen Gold 80г,https://online.metro-cc.ru/products/80g-shokolad-molochnyy-alpen-gold,79.90,79.90,ALPEN GOLD
667413,"Шоколад Red темный апельсин и миндаль без сахара, 26г",https://online.metro-cc.ru/products/temnyj-red-apelsin-mindal-26-g,73.90,44.90,RED
109565,"RIOBA Шоколад молочный с соленой карамелью, 100г",https://online.metro-cc.ru/products/shokolad-rioba-molochnyj-s-solenoj-karamelyu-100g,124,119,RIOBA
